employee_id,first_name,last_name,email,birthdate,age,gender,race,marital_status,state,start_date,exit_date,employee_status,employment_type,employee_classification_type,termination_type,title,department,payzone,performance_score,current_rating
1001,Susan,Exantus,susan.exantus@bilearner.com,9/21/1957,67,Female,Black,Married,MA,8/29/2019,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1002,Sandra,Martin,sandra.martin@bilearner.com,7/8/1950,75,Female,Asian,Widowed,MA,12/12/2022,5/28/2023,Involuntarily Terminated,Part-Time,Temporary,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1003,Keyla,Del Bosque,keyla.del bosque@bilearner.com,11/23/1973,51,Female,White,Married,MA,3/8/2023,3/15/2023,Voluntarily Terminated,Contract,Part-Time,Voluntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1004,Andrew,Szabo,andrew.szabo@bilearner.com,1/27/1957,68,Male,Black,Single,MA,5/29/2020,3/5/2021,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1005,Luke,Patronick,luke.patronick@bilearner.com,7/28/1970,55,Male,Black,Divorced,MA,9/16/2022,NULL,Active,Full-Time,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1006,Colby,Andreola,colby.andreola@bilearner.com,2/19/1959,66,Female,White,Widowed,MA,8/15/2021,11/20/2021,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Software Engineer,Engineering,Zone C,Needs Improvement,3
1007,Edward,TRUE,edward.true@bilearner.com,3/18/2000,25,Male,Black,Widowed,MA,10/25/2020,9/26/2021,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1008,Judith,Carabbio,judith.carabbio@bilearner.com,12/21/1981,43,Female,Hispanic,Married,MA,8/28/2019,5/4/2020,Voluntarily Terminated,Contract,Temporary,Voluntary,Software Engineer,Engineering,Zone B,Needs Improvement,3
1009,Adell,Saada,adell.saada@bilearner.com,3/1/1987,38,Female,Other,Single,MA,6/13/2019,1/12/2023,Retired,Part-Time,Temporary,Retirement,Software Engineer,Engineering,Zone C,Needs Improvement,3
1010,Kamari,Hunter,kamari.hunter@bilearner.com,10/21/1992,32,Male,Hispanic,Divorced,MA,1/12/2021,3/18/2022,Voluntarily Terminated,Part-Time,Temporary,Voluntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1011,Sarah,Malone,sarah.malone@bilearner.com,2/22/1948,77,Male,Hispanic,Married,MA,2/7/2022,2/12/2023,Voluntarily Terminated,Contract,Temporary,Resignation,Software Engineer,Engineering,Zone A,Needs Improvement,3
1012,Skyler,Blackwell,skyler.blackwell@bilearner.com,10/3/1978,46,Male,White,Single,MA,11/9/2020,6/6/2021,Involuntarily Terminated,Contract,Temporary,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1013,Jasmin,Shah,jasmin.shah@bilearner.com,11/19/1974,50,Male,Asian,Single,MA,5/13/2020,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1014,Kole,Quinn,kole.quinn@bilearner.com,7/13/1953,72,Male,Other,Single,MA,12/31/2022,7/13/2023,Retired,Part-Time,Part-Time,Retirement,Shared Services Manager,Administration,Zone A,Needs Improvement,3
1015,Ansley,Jackson,ansley.jackson@bilearner.com,12/4/1961,63,Female,White,Married,MA,12/3/2018,NULL,Active,Contract,Part-Time,NULL,Shared Services Manager,Administration,Zone A,Needs Improvement,3
1016,Jayda,Reese,jayda.reese@bilearner.com,3/8/1956,69,Female,White,Single,MA,2/21/2020,5/29/2021,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Senior BI Developer,Data & Analytics,Zone B,Needs Improvement,3
1017,Julien,Whitehead,julien.whitehead@bilearner.com,7/5/1947,78,Female,Black,Single,MA,9/7/2020,12/15/2021,Involuntarily Terminated,Full-Time,Full-Time,Involuntary,Senior BI Developer,Data & Analytics,Zone B,Needs Improvement,3
1018,Alan,Haynes,alan.haynes@bilearner.com,2/24/1942,83,Female,White,Married,MA,6/19/2020,12/8/2021,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1019,Kamryn,Herrera,kamryn.herrera@bilearner.com,11/28/1978,46,Male,Hispanic,Widowed,MA,10/14/2022,7/28/2023,Retired,Full-Time,Temporary,Retirement,Software Engineer,Engineering,Zone A,Needs Improvement,3
1020,Kelvin,Foster,kelvin.foster@bilearner.com,12/20/1990,34,Female,Black,Widowed,MA,6/20/2023,7/18/2023,Voluntarily Terminated,Contract,Full-Time,Resignation,Software Engineer,Engineering,Zone C,Needs Improvement,3
1021,Joe,Fletcher,joe.fletcher@bilearner.com,1/25/1989,36,Male,Hispanic,Single,MA,11/9/2020,7/17/2023,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Software Engineer,Engineering,Zone C,Needs Improvement,3
1022,Frederick,Howe,frederick.howe@bilearner.com,6/11/1962,63,Male,Black,Divorced,MA,9/19/2022,NULL,Active,Part-Time,Temporary,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1023,Nickolas,Davila,nickolas.davila@bilearner.com,4/5/1992,33,Male,Hispanic,Divorced,MA,11/9/2018,10/10/2021,Voluntarily Terminated,Contract,Part-Time,Voluntary,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1024,Kasey,Boyer,kasey.boyer@bilearner.com,3/30/1987,38,Female,Other,Divorced,MA,12/30/2018,6/23/2021,Involuntarily Terminated,Contract,Part-Time,Involuntary,Shared Services Manager,Administration,Zone A,Needs Improvement,3
1025,Giovanni,Jenkins,giovanni.jenkins@bilearner.com,11/13/1960,64,Female,Other,Divorced,MA,5/11/2023,5/15/2023,Retired,Full-Time,Temporary,Retirement,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1026,Alexis,Moss,alexis.moss@bilearner.com,11/7/1950,74,Female,Other,Widowed,MA,11/3/2022,2/9/2023,Voluntarily Terminated,Contract,Part-Time,Resignation,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1027,Joanna,Murphy,joanna.murphy@bilearner.com,12/21/1962,62,Male,Other,Single,MA,6/14/2020,5/29/2021,Voluntarily Terminated,Part-Time,Part-Time,Voluntary,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1028,Joseph,Schmidt,joseph.schmidt@bilearner.com,10/22/2000,24,Male,Asian,Single,MA,10/15/2019,1/1/2023,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Software Engineer,Engineering,Zone C,Needs Improvement,3
